Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos
2018-05-14,1.7,27.9,86.8,32.8,1006.5,13.8,12865,18.0,2018,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.7526668275320085,-0.6584015846980488,22.0,21.0,14.0,11.0,8.0,19.0,4.358898943540673,15.714285714285714,4.889249625940758,11.357142857142858,5.994961254216778,0.9876883405951378,0.15643446504023092
2018-05-15,2.5,29.5,84.4,37.2,1006.6,2.8,17895,20.0,2018,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.7412220108485958,-0.6712599575675313,18.0,22.0,21.0,19.0,4.0,20.333333333333332,2.0816659994661357,16.714285714285715,4.461475305855883,12.071428571428571,6.157725425640736,-0.06975647374412527,-0.9975640502598242
2018-05-16,4.2,31.2,74.3,39.5,1006.6,0.0,19870,10.0,2018,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.7295575540864875,-0.6839194216246106,20.0,18.0,22.0,13.0,4.0,20.0,2.0000000000000018,16.857142857142858,4.5617456975946995,13.214285714285714,6.027865694851272,-0.2079116908177595,-0.9781476007338056
2018-05-17,3.5,30.8,77.3,39.2,1006.7,0.8,19282,10.0,2018,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.717676913675962,-0.6963762255968722,10.0,20.0,18.0,10.0,9.0,16.0,5.291502622129176,16.428571428571427,5.09434794182542,13.642857142857142,5.513719153266593,0.01745240643728344,-0.9998476951563913
2018-05-18,2.9,29.6,80.4,36.5,1006.4,0.2,18773,11.0,2018,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.705583610107178,-0.7086266782644596,10.0,10.0,20.0,14.0,12.0,13.333333333333334,5.77350269189625,16.428571428571427,5.09434794182542,13.714285714285714,5.455111525738198,0.6156614753256584,-0.7880107536067219
2018-05-19,2.5,30.4,76.2,37.9,1006.2,0.0,18725,13.0,2018,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.6932812268869777,-0.7206671495538609,11.0,10.0,10.0,21.0,8.0,10.333333333333334,0.5773502691895129,16.0,5.4467115461227245,13.642857142857142,5.4857457645616945,-0.0348994967025009,-0.9993908270190958
2018-05-20,2.4,30.5,78.3,38.6,1006.3,0.0,18034,17.0,2018,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.6807734094770161,-0.7324940716135789,13.0,11.0,10.0,22.0,4.0,11.333333333333334,1.5275252316519086,14.857142857142858,5.047394424471938,14.0,5.247710123326319,0.6691306063588583,-0.7431448254773941
2018-05-21,2.3,29.4,82.9,36.6,1007.0,0.8,17547,16.0,2018,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.6680638642135335,-0.7441039398713607,17.0,13.0,11.0,18.0,11.0,13.666666666666666,3.0550504633038793,14.142857142857142,4.140393356054117,14.928571428571429,4.428305557421495,0.8480480961564261,-0.5299192642332048
2018-05-22,1.5,26.8,92.0,30.5,1008.6,42.6,12292,18.0,2018,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.6551563572090853,-0.7554933140726803,16.0,17.0,13.0,20.0,19.0,15.333333333333334,2.081665999466118,13.857142857142858,3.8913824205360585,15.285714285714286,4.286446823842139,0.9993908270190958,-0.034899496702500955
2018-05-23,2.5,29.1,80.0,34.9,1007.5,1.0,17671,18.0,2018,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.6420547132365637,-0.766658819300159,18.0,16.0,17.0,10.0,13.0,17.0,0.9999999999999805,13.571428571428571,3.4086724129853767,15.214285714285714,4.227721179740495,0.8660254037844387,-0.4999999999999998
2018-05-24,3.2,27.2,89.5,31.2,1008.4,7.6,18509,11.0,2018,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.6287628145958344,-0.7775971469736269,18.0,18.0,16.0,10.0,10.0,17.333333333333332,1.1547005383792366,14.714285714285714,3.3523268393900936,15.571428571428571,4.237457251234984,-0.06975647374412527,-0.9975640502598242
2018-05-25,2.4,29.1,84.1,36.0,1007.1,0.0,19387,9.0,2018,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.6152845999633276,-0.7883050558305255,11.0,18.0,18.0,11.0,14.0,15.666666666666666,4.0414518843273735,14.857142857142858,3.1320159337914846,15.642857142857142,4.143709650823723,-0.0348994967025009,-0.9993908270190958
2018-05-26,2.5,27.9,89.4,33.2,1008.5,21.8,14552,10.0,2018,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.6016240632249226,-0.7987793728863649,9.0,11.0,18.0,13.0,21.0,12.666666666666666,4.725815626252598,14.571428571428571,3.59894164336974,15.285714285714286,4.496640992983563,0.5299192642332049,-0.848048096156426
2018-05-27,2.7,29.1,82.6,35.5,1008.4,0.0,17045,13.0,2018,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.5877852522924732,-0.8090169943749473,10.0,9.0,11.0,17.0,22.0,10.0,0.9999999999999343,14.142857142857142,3.9761191895520107,14.5,4.380902611598171,0.984807753012208,-0.1736481776669303
2018-05-28,2.5,30.1,78.4,37.5,1008.2,0.0,19004,16.0,2018,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.5737722679043246,-0.8190148866680801,13.0,10.0,9.0,16.0,18.0,10.666666666666666,2.081665999466103,13.571428571428571,3.7796447300922624,13.857142857142858,3.8201317507916626,0.9702957262759965,-0.24192189559966779
2018-05-29,3.7,29.4,83.7,36.8,1008.4,0.0,19047,10.0,2018,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.5595892624101765,-0.8287700871745038,16.0,13.0,10.0,18.0,20.0,13.0,2.9999999999999853,13.571428571428571,3.7796447300922624,13.714285714285714,3.6884136975664186,0.40673664307580043,-0.9135454576426008
2018-05-30,3.1,29.1,84.0,36.0,1008.3,0.2,18811,16.0,2018,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.545240438540651,-0.8382797052177744,10.0,16.0,13.0,18.0,10.0,13.0,2.9999999999999853,12.428571428571429,3.4086724129853745,13.0,3.328201177351371,0.7071067811865476,-0.7071067811865475
2018-05-31,2.4,29.4,81.7,36.4,1008.8,0.4,18132,13.0,2018,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.5307300481619334,-0.8475409228928311,16.0,10.0,16.0,11.0,10.0,14.0,3.4641016151377437,12.142857142857142,2.9113897843109893,13.428571428571429,3.2983512364696477,-0.052335956242943564,-0.9986295347545738
2018-06-01,2.7,29.8,76.8,36.3,1008.3,0.2,19768,14.0,2018,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.5160623910158528,-0.8565509959010036,13.0,16.0,10.0,9.0,11.0,13.0,2.9999999999999853,12.428571428571429,2.878491668515683,13.642857142857142,3.1527068432634864,-0.9998476951563913,0.01745240643728313
2018-06-02,2.8,30.1,75.3,36.8,1007.3,0.0,19882,12.0,2018,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.5012418134457758,-0.865307254363206,14.0,13.0,16.0,10.0,13.0,14.333333333333334,1.527525231651924,13.142857142857142,2.4784787961281944,13.857142857142858,3.0598427022703865,-0.9876883405951378,0.15643446504023067
2018-06-03,3.5,30.7,72.9,37.7,1005.2,0.0,19931,11.0,2018,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.48627270710868997,-0.8738071036110808,12.0,14.0,13.0,13.0,17.0,13.0,0.9999999999999558,13.428571428571429,2.1491969707422216,13.785714285714286,3.0928844249234473,-0.9396926207859084,-0.34202014332566855
2018-06-04,3.2,30.2,74.0,36.4,1005.5,0.0,19880,9.0,2018,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.4711595076738638,-0.8820480249558537,11.0,12.0,14.0,16.0,16.0,12.333333333333334,1.5275252316519146,13.142857142857142,2.340126166724862,13.357142857142858,3.02825521882315,-0.8090169943749473,-0.5877852522924732
2018-06-05,3.6,30.4,74.1,37.1,1007.1,0.0,19613,10.0,2018,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.4559066935084588,-0.8900275764346767,9.0,11.0,12.0,10.0,18.0,10.666666666666666,1.5275252316519072,12.142857142857142,2.4102953780654612,12.857142857142858,3.1343541319027426,-0.7880107536067221,-0.6156614753256581
2018-06-06,2.6,28.8,83.7,35.1,1007.5,10.0,18672,14.0,2018,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.440518784350495,-0.8977433935342337,10.0,9.0,11.0,16.0,18.0,10.0,0.9999999999999353,12.142857142857142,2.4102953780654612,12.285714285714286,2.8400588138160154,-0.9659258262890683,-0.25881904510252063
2018-06-07,2.8,29.2,77.0,34.5,1006.5,1.0,19502,13.0,2018,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.42500033996955416,-0.9051931898913974,14.0,10.0,9.0,13.0,11.0,11.0,2.645751311064569,11.857142857142858,1.9518001458970442,12.0,2.385855756810888,-0.9455185755993168,-0.32556815445715664
2018-06-08,2.8,28.4,82.0,33.5,1006.0,2.0,19453,13.0,2018,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.4093559588156213,-0.9123747579707273,13.0,14.0,10.0,14.0,9.0,12.333333333333334,2.0816659994661104,11.857142857142858,1.9518001458970442,12.142857142857142,2.3812454032143844,-0.34202014332566866,-0.9396926207859084
2018-06-09,3.3,28.2,86.5,33.8,1006.0,11.6,19206,8.0,2018,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.39359027665646673,-0.9192859697186104,13.0,13.0,14.0,12.0,10.0,13.333333333333334,0.5773502691895568,11.714285714285714,1.7994708216848503,12.428571428571429,2.208873214813573,-0.39073112848927355,-0.9205048534524404
2018-06-10,4.9,29.2,84.9,36.3,1006.7,4.4,19117,8.0,2018,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.3777079652039649,-0.9259247771938498,8.0,13.0,13.0,11.0,13.0,11.333333333333334,2.88675134594811,11.142857142857142,2.2677868380553434,12.285714285714286,2.431478544443253,-0.29237170472273677,-0.9563047559630354
2018-06-11,6.2,29.8,79.0,36.9,1007.5,0.0,19788,8.0,2018,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.36171373072976765,-0.9322892131745133,8.0,8.0,13.0,9.0,16.0,9.666666666666666,2.8867513459481065,10.714285714285714,2.563479777846605,11.928571428571429,2.6736401493753066,-0.374606593415912,-0.9271838545667874
