Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_lag30,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos,Prec._lag1,Prec._lag2,Prec._lag3,Prec._lag7,Prec._lag14,Prec._rollsum3,Prec._rollmean3,Prec._rollsum7,Prec._rollmean7,Prec._rollsum14,Prec._rollmean14
2022-10-22,2.1,27.1,86.7,30.6,1010.4,10.8,,10.0,2022,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.9398560579418953,0.341570769167856,11.0,14.0,14.0,17.0,16.0,16.0,13.0,1.7320508075686374,13.0,2.3094010767582613,14.714285714285714,3.0237157840737448,0.08715574274765817,0.9961946980917455,22.2,0.0,1.6,4.0,13.4,23.80000000000003,7.933333333333343,32.00000000000003,4.571428571428576,70.60000000000001,5.042857142857144
2022-10-26,2.5,27.0,85.0,30.2,1008.6,0.2,,13.0,2022,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.9141279881853337,0.4054257283599973,10.0,11.0,14.0,12.0,18.0,11.0,11.666666666666666,2.0816659994659106,12.0,1.7320508075685512,14.285714285714286,3.2446066830159963,0.4226182617406995,-0.9063077870366499,10.8,22.2,0.0,0.2,25.2,33.00000000000003,11.000000000000009,38.800000000000026,5.542857142857146,68.00000000000001,4.8571428571428585
2022-10-30,2.1,27.6,85.1,31.8,1005.1,0.0,,10.0,2022,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8840675099433637,0.46735921715800205,13.0,10.0,11.0,13.0,16.0,17.0,11.333333333333334,1.5275252316516361,12.142857142857142,1.7728105208555185,13.928571428571429,3.075068122179325,0.4067366430758002,0.9135454576426009,0.2,10.8,22.2,4.0,0.0,33.20000000000003,11.066666666666677,38.800000000000026,5.542857142857146,43.00000000000001,3.071428571428572
2022-11-05,1.5,-7.8,23.1,49.3,1008.5,91.2,,12.0,2022,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.8311706263658079,0.5560174366570446,10.0,13.0,10.0,10.0,16.0,18.0,11.0,1.7320508075685968,11.714285714285714,1.8898223650458361,13.5,3.180469244527311,0.4067366430758002,0.9135454576426009,0.0,0.2,10.8,0.0,0.0,11.000000000000028,3.6666666666666763,34.800000000000026,4.971428571428575,43.00000000000001,3.071428571428572
2022-11-06,1.4,20.1,18.1,22.9,1010.3,45.2,,12.0,2022,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.8214765533024145,0.5702422926917867,12.0,10.0,13.0,14.0,11.0,19.0,11.666666666666666,1.5275252316516439,12.0,1.7320508075685512,13.214285714285714,3.11765620615547,0.8191520442889917,-0.5735764363510462,91.2,0.0,0.2,1.6,0.0,91.40000000000003,30.46666666666668,126.00000000000003,18.000000000000004,134.20000000000002,9.585714285714287
2022-11-11,2.9,25.2,96.3,26.0,1008.3,34.4,,12.0,2022,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.7694148268839381,0.6387494220515268,12.0,12.0,10.0,14.0,19.0,15.0,11.333333333333334,1.1547005383788407,11.714285714285714,1.4960264830858125,13.285714285714286,3.0741745966273535,0.6427876096865393,0.766044443118978,45.2,91.2,0.0,0.0,0.0,136.40000000000003,45.466666666666676,169.60000000000002,24.22857142857143,179.4,12.814285714285715
2022-11-12,2.6,26.9,89.5,30.3,1007.8,37.2,,9.0,2022,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.7583058084785625,0.6518989958787125,12.0,12.0,12.0,11.0,19.0,15.0,12.0,0.0,11.428571428571429,1.1338934190271805,12.785714285714286,2.6070487714468977,0.9455185755993167,0.32556815445715676,34.4,45.2,91.2,22.2,0.0,170.80000000000004,56.933333333333344,204.00000000000003,29.142857142857146,213.8,15.271428571428572
2022-11-19,1.8,26.0,91.6,28.0,1007.2,10.6,,9.0,2022,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.6744436188329457,0.7383263540031063,9.0,12.0,12.0,10.0,17.0,21.0,11.0,1.732050807568597,11.142857142857142,1.4638501094224112,12.071428571428571,2.092634913003302,0.9271838545667874,0.37460659341591196,37.2,34.4,45.2,10.8,4.0,116.80000000000004,38.933333333333344,219.00000000000003,31.28571428571429,251.0,17.928571428571427
2022-11-25,1.4,26.9,89.4,30.4,1007.9,8.8,,17.0,2022,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.594726686960764,0.8039279618328208,9.0,9.0,12.0,13.0,12.0,27.0,10.0,1.7320508075685768,11.0,1.6329931618551035,11.5,1.6984155512167287,0.7193398003386511,-0.6946583704589974,10.6,37.2,34.4,0.2,0.2,82.20000000000003,27.40000000000001,218.80000000000004,31.257142857142863,257.6,18.400000000000002
2022-12-02,1.6,24.7,95.7,24.6,1006.9,77.8,,11.0,2022,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,-0.49377555015997737,0.8695893893466109,17.0,9.0,9.0,10.0,13.0,21.0,11.666666666666666,4.618802153516906,11.571428571428571,2.7602622373692114,11.857142857142858,2.2483204964916608,0.13917310096006544,0.9902680687415704,8.8,10.6,37.2,0.0,4.0,56.60000000000003,18.866666666666678,227.40000000000003,32.48571428571429,266.20000000000005,19.014285714285716
