Date,Wind Speed,Temp.,Humi.,heatidx,Pres.,Prec.,Vis.,PM2.5,year,month_sin,month_cos,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM2.5_lag7,PM2.5_lag14,PM2.5_lag30,PM2.5_rollmean3,PM2.5_rollstd3,PM2.5_rollmean7,PM2.5_rollstd7,PM2.5_rollmean14,PM2.5_rollstd14,Wind Dir_sin,Wind Dir_cos,Prec._lag1,Prec._lag2,Prec._lag3,Prec._lag7,Prec._lag14,Prec._rollsum3,Prec._rollmean3,Prec._rollsum7,Prec._rollmean7,Prec._rollsum14,Prec._rollmean14
2023-03-03,2.5,28.4,47.3,28.7,1015.0,0.0,12212,46.0,2023,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8674563547295969,0.49751328890718066,54.0,55.0,62.0,59.0,36.0,94.0,57.0,4.35889894354067,51.0,9.201449161228146,49.642857142857146,8.625607161301414,0.9743700647852352,0.22495105434386492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-04,2.7,27.8,48.2,28.1,1015.3,0.0,11818,59.0,2023,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.8758917051442429,0.48250774176121847,46.0,54.0,55.0,48.0,52.0,98.0,51.666666666666664,4.9328828623162435,49.142857142857146,8.610624666239767,50.357142857142854,7.781705793393905,0.992546151641322,0.12186934340514749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-05,2.4,27.8,60.6,29.2,1014.5,0.0,9324,58.0,2023,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.8840675099433636,0.4673592171580022,59.0,46.0,54.0,36.0,61.0,38.0,53.0,6.557438524301998,50.714285714285715,9.340133577101277,50.857142857142854,8.113209958097409,0.9986295347545738,0.052335956242943966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-06,2.1,28.0,58.8,29.3,1013.1,0.0,7496,63.0,2023,0.8660254037844386,0.5000000000000001,0.0,1.0,0.8919813464595485,0.45207220393230435,58.0,59.0,46.0,43.0,44.0,27.0,54.333333333333336,7.234178138070232,53.857142857142854,6.962484504556525,50.642857142857146,7.86038893984957,0.9998476951563913,0.0174524064372836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-07,1.9,29.5,63.1,32.5,1012.6,0.0,6317,79.0,2023,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8996308696522433,0.43665123195606403,63.0,58.0,59.0,62.0,41.0,19.0,60.0,2.6457513110645787,56.714285714285715,5.765248931147232,52.0,8.255534274281775,0.5591929034707469,-0.8290375725550416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-08,2.5,29.7,71.5,34.7,1011.7,0.0,5998,72.0,2023,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.9070138128026359,0.4211008707960896,79.0,63.0,58.0,55.0,50.0,18.0,66.66666666666667,10.969655114602885,59.142857142857146,10.221359521912403,54.714285714285715,10.343549245254529,-0.017452406437283637,-0.9998476951563913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09,2.7,29.3,80.4,35.5,1011.0,0.0,8004,51.0,2023,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.9141279881853337,0.40542572835999735,72.0,79.0,63.0,54.0,54.0,20.0,71.33333333333333,8.020806277010635,61.57142857142857,11.0582871316363,56.285714285714285,11.207336686492019,-0.0348994967025009,-0.9993908270190958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-10,2.7,29.5,78.3,35.8,1010.5,0.0,7722,52.0,2023,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9209712877166346,0.38963044953078796,51.0,72.0,79.0,46.0,59.0,19.0,67.33333333333333,14.571661996262925,61.142857142857146,11.451762185046277,56.07142857142857,11.282827562370707,0.06975647374412552,-0.9975640502598242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-11,3.8,29.2,85.6,36.7,1010.6,0.0,9726,42.0,2023,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.9275416835791966,0.37371971479046906,52.0,51.0,72.0,59.0,48.0,18.0,58.333333333333336,11.846237095944563,62.0,10.295630140986935,55.57142857142857,11.298157002287851,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-12,3.4,28.8,84.8,35.1,1010.6,2.0,9009,37.0,2023,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.9338372288229252,0.35769823883312546,42.0,52.0,51.0,58.0,36.0,16.0,48.333333333333336,5.507570547286067,59.57142857142857,12.817398889233068,55.142857142857146,11.713615633474816,-0.15643446504023073,-0.9876883405951378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-13,3.1,28.4,62.6,30.4,1011.0,0.0,9780,51.0,2023,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9398560579418954,0.3415707691678556,37.0,42.0,52.0,63.0,43.0,16.0,43.666666666666664,7.637626158259705,56.57142857142857,15.436505896274369,55.214285714285715,11.590304777492234,0.9135454576426009,0.4067366430758002,2.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-14,2.4,28.6,64.8,31.0,1009.4,0.0,11364,51.0,2023,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.9455963874271426,0.3253420847119801,51.0,37.0,42.0,79.0,62.0,18.0,43.333333333333336,7.094598884597555,54.857142857142854,15.269016246728416,55.785714285714285,11.129852935848735,0.9563047559630354,0.29237170472273677,0.0,2.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-15,3.6,29.4,78.6,35.5,1010.1,0.0,10547,49.0,2023,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.9510565162951535,0.30901699437494745,51.0,51.0,37.0,72.0,55.0,20.0,46.333333333333336,8.082903768654731,50.857142857142854,10.945753688509685,55.0,11.04536101718701,-0.15643446504023073,-0.9876883405951378,0.0,0.0,2.0,0.0,0.0,2.0,0.6666666666666666,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-16,3.8,29.3,82.6,36.2,1010.9,0.0,13674,31.0,2023,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.9562348265919056,0.29260033563334836,49.0,51.0,51.0,51.0,54.0,21.0,50.333333333333336,1.1547005383792526,47.57142857142857,5.769377287516752,54.57142857142857,11.161157134070962,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-17,3.8,29.4,80.9,36.0,1010.2,0.0,16517,28.0,2023,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9611297838723007,0.27609697309746883,31.0,49.0,51.0,52.0,46.0,26.0,43.666666666666664,11.015141094572202,44.714285714285715,8.220184217609038,52.92857142857143,12.821042113616027,-0.275637355816999,-0.9612616959383189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-18,4.0,29.7,82.2,37.3,1009.0,0.0,16515,25.0,2023,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.9657399376548549,0.2595117970697999,28.0,31.0,49.0,42.0,59.0,31.0,36.0,11.357816691600545,41.285714285714285,9.569296137722413,51.642857142857146,14.37737080306362,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-19,4.2,29.6,83.4,37.3,1008.5,0.0,16054,27.0,2023,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.9700639218515071,0.2428497220959356,25.0,28.0,31.0,37.0,58.0,36.0,28.0,2.999999999999995,38.857142857142854,11.349428347257167,49.214285714285715,15.836562231011463,-0.22495105434386498,-0.9743700647852352,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.9999999999999716,0.28571428571428165,1.9999999999999645,0.14285714285714032
2023-03-20,4.6,30.2,81.1,38.5,1007.9,0.0,16791,25.0,2023,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9741004551724205,0.22611568550828828,27.0,25.0,28.0,51.0,63.0,52.0,26.666666666666668,1.5275252316519372,37.42857142857143,12.21825332384769,47.0,16.65948563246949,-0.19080899537654472,-0.981627183447664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999645,0.14285714285714032
