Date,61T,54T,24T,26T,27T,30T,36T,40T,46T,44T
20/7/2014,N/A,32,20,N/A,10,12,24,N/A,12,48
21/7/2014,N/A,31,25,N/A,15,12,28,N/A,12,38
22/7/2014,N/A,29,22,N/A,18,12,24,N/A,8,32
23/7/2014,N/A,28,19,N/A,15,8,N/A,5,10,24
24/7/2014,N/A,23,23,N/A,14,10,29,6,9,33
25/7/2014,N/A,28,32,N/A,14,11,25,N/A,12,24
26/7/2014,N/A,27,28,N/A,16,9,23,3,12,18
27/7/2014,N/A,27,24,N/A,13,9,22,N/A,12,15
28/7/2014,N/A,26,28,N/A,17,13,25,N/A,10,25
29/7/2014,N/A,33,32,N/A,18,11,23,9,13,14
30/7/2014,N/A,39,32,N/A,20,14,21,6,13,18
31/7/2014,N/A,39,26,N/A,N/A,16,16,5,11,19
1/8/2014,N/A,37,26,N/A,27,18,22,N/A,12,23
2/8/2014,N/A,32,26,N/A,17,18,17,N/A,10,20
3/8/2014,N/A,34,20,N/A,15,14,23,N/A,11,23
4/8/2014,N/A,35,20,N/A,15,8,22,6,11,36
5/8/2014,N/A,26,21,N/A,11,7,22,4,8,27
6/8/2014,N/A,24,18,N/A,6,6,19,7,9,14
7/8/2014,N/A,27,25,N/A,8,6,16,N/A,8,19
8/8/2014,N/A,23,19,N/A,4,6,N/A,N/A,6,21
9/8/2014,N/A,25,21,N/A,5,7,23,8,8,18
10/8/2014,N/A,25,22,N/A,8,8,22,10,10,13
11/8/2014,N/A,23,23,N/A,10,8,23,6,10,17
12/8/2014,N/A,25,20,N/A,11,9,17,5,5,19
13/8/2014,N/A,28,27,N/A,11,8,21,9,8,18
14/8/2014,N/A,32,26,N/A,16,8,27,8,13,21
15/8/2014,8,29,25,N/A,13,10,27,4,16,21
16/8/2014,9,40,22,N/A,13,8,23,4,10,14
17/8/2014,8,31,30,N/A,9,6,17,5,10,22
18/8/2014,N/A,28,29,N/A,8,7,22,7,12,15
19/8/2014,8,28,31,N/A,13,8,N/A,5,8,28
20/8/2014,10,34,17,N/A,13,7,22,3,10,19
21/8/2014,9,31,N/A,N/A,16,8,19,3,11,15
22/8/2014,13,40,N/A,13,18,13,10,4,7,11
23/8/2014,N/A,39,44,13,14,16,13,N/A,9,19
24/8/2014,N/A,26,29,10,11,17,11,N/A,8,16
25/8/2014,10,35,25,10,20,16,14,N/A,12,22
26/8/2014,7,35,31,11,13,14,13,9,6,14
27/8/2014,14,N/A,22,11,22,8,10,6,5,9
28/8/2014,5,N/A,19,10,16,7,10,4,10,14
29/8/2014,8,24,21,11,15,10,N/A,6,8,29
30/8/2014,6,20,21,9,15,11,N/A,4,6,25
31/8/2014,N/A,21,26,9,9,10,N/A,4,7,20
1/9/2014,N/A,20,24,6,10,9,N/A,5,7,21
2/9/2014,5,19,19,3,16,14,9,6,5,35
3/9/2014,7,24,20,6,9,5,6,4,5,24
4/9/2014,9,24,29,7,14,8,8,3,9,26
5/9/2014,6,17,23,4,15,8,9,5,11,18
