Date,59T ,61T,54T ,24T ,26T ,27T,30T ,32T,36T ,40T,46T,44T 
8/5/2015,18,N/A,25,43,23,11,15,N/A,56,N/A,20,N/A
9/5/2015,15,7,31,45,18,11,13,8,43,N/A,23,N/A
10/5/2015,19,9,26,47,19,8,11,N/A,50,26,18,N/A
11/5/2015,13,6,25,47,21,10,8,N/A,60,29,24,N/A
12/5/2015,14,N/A,26,47,20,10,8,7,38,34,35,N/A
13/5/2015,12,8,23,46,17,14,13,7,41,24,26,N/A
14/5/2015,10,6,24,42,13,9,17,6,34,18,13,N/A
15/5/2015,13,N/A,25,45,11,10,17,11,24,13,13,N/A
16/5/2015,11,N/A,23,40,13,11,13,10,19,N/A,18,N/A
17/5/2015,10,N/A,16,40,10,12,N/A,7,14,N/A,14,N/A
18/5/2015,7,N/A,21,35,11,10,N/A,6,10,N/A,16,N/A
19/5/2015,10,N/A,19,35,11,20,12,6,N/A,N/A,18,N/A
20/5/2015,8,14,18,30,11,16,10,6,9,N/A,10,N/A
21/5/2015,8,13,19,33,9,12,14,4,11,6,8,N/A
22/5/2015,5,14,15,36,10,18,6,5,9,N/A,9,N/A
23/5/2015,7,15,23,39,13,24,9,5,10,5,10,N/A
24/5/2015,11,16,19,42,14,16,11,5,14,11,18,N/A
25/5/2015,11,19,23,38,15,8,9,7,21,18,17,N/A
26/5/2015,14,22,18,46,17,9,13,9,19,18,16,N/A
27/5/2015,15,24,26,38,18,9,11,7,15,23,18,N/A
28/5/2015,12,21,20,39,17,10,10,9,22,N/A,16,N/A
29/5/2015,11,17,23,41,13,12,10,8,20,14,16,N/A
30/5/2015,13,19,28,38,17,18,9,7,15,15,15,N/A
31/5/2015,11,17,22,38,15,14,14,7,12,11,17,N/A
1/6/2015,9,15,24,38,10,11,9,4,N/A,12,13,N/A
2/6/2015,10,20,22,38,14,15,11,7,14,12,11,N/A
3/6/2015,16,24,35,41,18,27,9,8,14,15,9,N/A
4/6/2015,9,16,25,42,15,10,10,9,N/A,16,10,N/A
5/6/2015,14,19,29,N/A,15,12,13,10,N/A,N/A,14,N/A
6/6/2015,13,19,28,N/A,14,15,12,11,12,12,17,N/A
7/6/2015,12,18,22,N/A,14,8,11,10,11,16,15,N/A
8/6/2015,12,20,N/A,N/A,14,11,N/A,12,15,11,10,N/A
9/6/2015,12,22,24,N/A,15,11,10,11,9,10,11,N/A
10/6/2015,11,22,26,43,14,8,10,11,N/A,12,15,N/A
11/6/2015,10,21,18,45,15,10,9,10,8,11,19,N/A
12/6/2015,12,22,25,45,15,10,8,15,11,11,18,N/A
13/6/2015,11,22,29,42,16,14,18,N/A,10,11,17,N/A
14/6/2015,11,21,24,42,12,9,18,N/A,11,10,18,N/A
15/6/2015,12,19,29,46,12,10,13,13,10,10,18,N/A
